index,background,roi_1,roi_2,roi_3,roi_4,roi_5,roi_6,roi_7,roi_8,roi_9,roi_10,roi_11,roi_12,roi_13,roi_14,roi_15,roi_16,roi_17,roi_18,roi_19,roi_20,roi_21,roi_22,roi_23,roi_24,roi_25,roi_26,roi_27,roi_28,roi_29,roi_30,roi_31
0,132,226.767868852459,223.40238450074514,219.26109911207104,231.6499558303887,244.85920351207275,194.05613013354755,223.07008980866848,238.66706985182944,194.48931405481719,269.87307588441803,190.0990457678035,184.73709179170345,230.1764705882353,192.5,182.87844554902847,220.63520408163265,198.25700458481916,222.49939191243539,217.23684210526315,223.7602620928888,202.52059014267186,203.0109170305677,206.67590431738623,196.39876910016977,204.54713313896988,220.34018264840182,194.1791585399833,217.48672745694023,192.78123324396782,207.0871995528228,193.530073800738
1,132,226.7912568306011,223.57078986587183,218.8368130549556,231.27606007067138,244.7162119786767,193.89476855105934,223.04919953143303,238.56425763531902,194.42734044106908,268.8105590062112,189.80226188372504,184.79556487202117,223.94117647058823,193.72222222222223,182.43521238138274,220.2562615955473,197.5061130922058,222.1243539069626,217.1225391723584,222.66525342069764,201.9612516212711,202.21124454148472,206.18844807467912,195.65619694397284,204.2968901846453,220.4263698630137,193.58094176650877,216.9791286727457,192.29919571045576,207.44829513694802,193.49040590405903
2,126,226.51147540983607,222.93591654247393,218.5377969762419,230.88847173144876,244.3747256193164,193.27874284566724,222.4449433814916,238.40489869972785,193.86193466725086,268.5934377531731,189.64755257112563,184.15556045895852,226.41176470588235,194.27777777777777,182.22977858111162,219.82374768089053,197.14416709118697,221.92459714198844,216.35134592205705,222.6103295432646,201.70719844357976,201.60152838427948,205.9186114352392,195.46095076400678,203.9961127308066,219.3935502283105,193.28336584006686,216.40911854103342,192.3088471849866,206.5371716042482,192.910147601476
3,131,226.43628415300546,222.83830104321908,218.29733621310294,230.74889575971733,243.60175603637504,193.13816648257858,222.10288949629052,238.5361354702147,193.78559953264204,267.90750742641103,189.5895034458385,184.15247131509267,227.47058823529412,194.16666666666666,182.43419566199728,219.83835807050093,196.80005094243504,221.367284889024,215.91301727601447,222.3597995760262,202.06258106355384,202.1116266375546,205.76662777129522,194.8045415959253,203.25534499514092,219.39583333333334,192.89384229590416,216.44559270516717,192.0509383378016,206.24762437115706,192.47693726937268
4,132,225.53945355191257,222.23621460506706,218.0681545476362,230.57265901060072,243.2615239887112,192.67677477658398,221.8777821163608,238.68460840641063,193.62611362640573,267.80502295436133,189.39070507156742,183.62511032656664,223.76470588235293,195.22222222222223,182.0015815634885,219.61456400742114,196.57182883341824,221.28321678321677,215.7541181197268,222.49007515899018,202.03420881971465,201.44705240174673,205.74270711785297,194.3832767402377,202.9331875607386,219.24971461187215,192.83477291724714,216.36149949341439,191.42359249329758,205.9916154276132,192.84040590405905
5,129,224.82185792349728,221.548435171386,217.40964722822173,229.8619699646643,243.7757917842584,192.71452957124208,221.79793049590003,238.87571817357122,193.37344822550023,267.1034296516338,189.39565294221595,183.44571932921448,222.8235294117647,198.66666666666666,181.7049254405784,219.23330241187384,195.9750382068263,221.45652173913044,215.3937324226597,222.20755444208905,201.37143320363165,200.8684497816594,205.38448074679113,194.85398981324278,202.68707482993196,218.98601598173516,192.90540540540542,216.01519756838906,191.6627345844504,206.23868082727782,192.54261992619925
6,131,224.83934426229507,220.9962742175857,217.1684665226782,229.7124558303887,243.46879899655065,192.52113666030726,221.7258883248731,239.14514665860295,193.27160313519303,267.027950310559,189.377363491783,183.34322594880848,227.8235294117647,189.27777777777777,181.63415047446904,219.34995361781077,195.8937850229241,221.12678625722103,214.85034150261149,222.19021005974176,201.0817120622568,200.94732532751092,204.88535589264876,194.5159168081494,203.0578231292517,218.83533105022832,192.69824463638898,215.5082066869301,191.5656836461126,206.58021240916713,192.3619926199262
7,128,224.44612021857924,220.57004470938898,217.03983681305496,229.19765901060072,243.96644716211978,192.04829802188974,221.05408043732916,238.9918355004536,192.76690521396233,266.4725897920605,189.34855981622195,183.28817299205647,225.88235294117646,196.83333333333334,181.3647763217352,218.69271799628942,195.77559857361183,220.8707813925205,214.52249899558055,221.69724417036036,201.2639429312581,200.80076419213975,204.6239789964994,194.31154499151103,203.14528668610302,218.52254566210047,192.44970743939817,215.59371833839919,191.46970509383377,206.3963107881498,192.09981549815498
8,133,224.3648087431694,220.602086438152,217.27717782577395,229.3904593639576,244.4609595484478,192.15362988251832,221.3334634908239,239.42999697611128,192.79426512828002,267.20415879017014,189.54947870648525,183.07921447484554,222.52941176470588,194.11111111111111,181.31360144600092,218.60807050092765,195.51655629139074,220.5720583764062,214.8754519887505,222.26055116592792,201.10230220492866,200.83597161572052,204.3728121353559,193.97007640067912,203.22667638483966,219.26198630136986,192.25717470047368,215.40182370820668,191.76943699731905,205.8692006707658,192.36531365313652
9,130,224.2166120218579,220.24739195230998,217.2990160787137,228.91298586572438,243.6607086861085,191.9818254844864,221.36977743069113,239.6564862413063,192.71544715447155,267.17971914663786,189.67812334334687,182.98510591350396,222.64705882352942,193.0,181.2337889742431,218.1117810760668,195.8507386653082,220.58361204013377,214.5002008838891,221.38196184235883,201.00599870298313,200.57942139737992,204.53558926487747,194.05645161290323,203.79956268221574,219.4660388127854,192.02702702702703,215.3596757852077,191.80750670241287,206.49972051425377,192.00055350553507
10,131,223.6192349726776,220.6117734724292,216.53635709143268,228.7327738515901,243.4678582627783,191.79465809820263,221.27567356501368,239.47384336256425,192.632637164695,267.42371050499594,190.06661954408906,182.80847308031775,225.76470588235293,194.0,181.0201084500678,218.22982374768088,195.83036169128886,220.16403162055337,214.65327440739253,221.7151666987859,200.82198443579767,200.5870633187773,204.2852975495916,194.40513582342953,203.7968901846453,218.84845890410958,192.19100027862913,215.3467071935157,191.31045576407507,206.3163778647289,192.14852398523985
11,131,224.41311475409836,219.83830104321908,216.20446364290856,228.74514134275617,243.3772342427093,191.3020383572648,221.21124560718468,239.05533716359238,192.51414244681368,267.1406967323791,190.45803145432055,183.17221977052074,228.41176470588235,192.16666666666666,180.8486217803886,218.26808905380335,195.50433010697913,220.49741562785042,214.71956609079953,221.82771246868376,200.68612191958496,200.20251091703057,205.12981330221703,194.5751273344652,202.71015549076773,218.88527397260273,191.98147116188352,214.83444782168186,191.11367292225202,206.0536612632756,192.27121771217713
12,130,224.2358469945355,220.2876304023845,215.99880009599232,229.07067137809187,242.88742552524303,191.51953007330053,221.6024990238188,238.38131236770488,192.5170634341074,266.4335673778018,191.50432938681746,183.182480141218,225.52941176470588,188.61111111111111,180.6944193402621,217.7775974025974,195.60901681100356,220.55731225296444,214.88650060265167,221.74850645596453,200.57749675745785,200.22816593886463,205.10910151691948,193.94991511035653,202.46622934888242,218.53795662100455,191.9941487879632,214.8774062816616,191.27613941018768,206.6584684181107,192.29428044280442
13,128,224.17814207650272,219.2585692995529,216.2922966162707,229.12168727915196,243.18124804013797,191.29631489105333,221.48223350253807,238.35833081342608,192.31595345893578,265.674183094788,191.99081109736701,182.726279788173,226.58823529411765,190.83333333333334,180.3977067329417,218.38543599257886,195.74146714212938,220.5270598966251,215.17316191241463,220.9822701869339,199.97778858625162,200.55076419213975,204.96995332555426,193.24915110356537,203.20383867832848,218.76055936073058,191.87684591808303,214.67700101317124,190.85308310991957,206.7333705980995,191.79907749077492
14,132,223.54273224043715,220.1274217585693,216.13726901847852,229.42999116607774,242.4459078080903,190.96124108846269,221.14877001171416,238.9513153915936,192.09678204566478,265.4018363489063,192.33689697826472,182.92519858781995,221.7058823529412,192.72222222222223,180.51779258924537,218.22147495361781,195.29928680590933,220.5337488598358,215.25331458417034,221.08132588167277,200.159046692607,200.69950873362444,204.75058343057177,193.23620543293717,203.49344023323616,218.99343607305937,191.71050431875173,214.2143870314083,190.8916890080429,206.98993851313583,191.83228782287824
15,127,223.2697267759563,219.98211624441132,215.44972402207824,229.65636042402826,242.84603323925995,190.79666633196103,220.9470909800859,240.1037193831267,192.02974538727423,264.5833108290575,192.70630853507686,182.53883495145632,217.58823529411765,193.66666666666666,180.38646633529146,218.2627551020408,195.1487519103413,220.87701429005776,214.8971474487746,221.47619965311236,199.79069390402074,199.87199781659388,204.55950991831972,193.69354838709677,204.0036443148688,218.2377283105023,191.38032878239065,214.28915906788248,190.64986595174264,207.4762437115707,191.92361623616236
16,131,223.42273224043717,220.32488822652758,216.0662347012239,230.56669611307422,243.22326748196926,190.85992569535094,221.3520109332292,239.36195947989114,191.91743342583126,264.6374561166622,194.11468457324617,183.29126213592232,227.52941176470588,196.22222222222223,180.35652959783098,218.89517625231912,195.06214977075905,220.4279416235938,215.00040176777821,221.1404894970129,199.5024319066148,200.2535480349345,204.31126021003502,194.17805602716467,206.22813411078718,218.55850456621005,191.2419894120925,215.1179331306991,190.34423592493297,208.04583566238122,192.1249077490775
17,127,224.1392349726776,219.96274217585693,216.43820494360452,229.61329505300353,243.24333646911256,190.99036047795963,221.41604841858648,239.88297550650137,192.0569105691057,265.0949230353767,196.06626612475702,183.54964695498677,219.2941176470588,195.55555555555554,180.31286714866698,218.3940166975881,195.59398879266428,220.4425357251444,215.3175974286862,221.7425322798227,199.38294422827497,200.22707423580786,204.2406651108518,193.46307300509338,205.44363459669583,218.03824200913243,190.787545277236,214.61073961499494,190.7646112600536,207.58356623812185,192.1730627306273
18,131,223.8598907103825,218.61475409836066,216.508279337653,229.87345406360424,242.81937911571026,190.67295913244303,221.65950800468568,240.81644995464166,192.24906284990993,265.3463408047529,198.01201625728928,183.60238305383936,221.8235294117647,191.22222222222223,180.3687867148667,218.63752319109463,195.71625063678044,220.52052295530555,215.80956207312173,221.80092503372518,199.62597276264592,200.6981441048035,204.85035005834305,193.78098471986416,206.66690962099125,218.39640410958904,190.915296740039,215.32806484295847,190.49276139410188,207.26383454443823,191.92841328413283
19,131,223.7648087431694,219.11922503725782,216.3887688984881,229.44235865724383,243.87864534336782,191.0234963349734,222.66595080046858,241.7922588448745,192.72756925174042,266.38090737240077,202.3763915886199,185.1163945278023,221.35294117647058,194.16666666666666,180.81427925892453,218.54707792207793,196.08329088130412,220.76649437519004,217.20389714744877,222.35729427635383,200.03907263294423,200.5736899563319,204.6242707117853,193.7459677419355,206.44096209912536,218.64640410958904,191.1763722485372,215.28936170212765,190.87024128686326,208.1430967020682,192.46771217712177
20,129,223.55081967213115,219.301043219076,216.3184545236381,229.2148851590106,244.1354656632173,190.97469625464404,222.17141741507223,241.70819473843363,192.81500413806532,265.42155009451795,204.9886022265418,185.39695498676082,220.64705882352942,190.88888888888889,180.61426796204248,218.56052875695732,196.32781456953643,220.6885071450289,217.25472077139415,222.25843129697438,199.83057717250324,200.19896288209608,204.43144690781796,193.07788624787776,206.23275024295432,217.9825913242009,190.8034271384787,215.2952380952381,190.7549597855228,209.58021240916713,192.07066420664208
21,129,224.43038251366121,219.25633383010432,216.3518118550516,229.69898409893992,244.73565380997178,191.16146199417614,222.30534947286216,242.51103719383127,192.91441507229445,265.1594652984067,208.0009719031631,186.3347308031774,223.0,195.72222222222223,180.71204247627654,218.54545454545453,196.6291390728477,221.06111280024322,218.51406187223785,222.67084216612065,200.19228274967574,200.31468340611355,204.26896149358225,193.62224108658742,205.3615160349854,217.6541095890411,191.31164669824463,215.00385005065857,190.58016085790885,209.50698714365566,192.27435424354243
22,132,224.25158469945356,219.01192250372577,217.14470842332614,229.68197879858658,244.5920351207275,191.07099106335977,222.56813744631003,242.8415482310251,192.97828732778345,265.4242506076154,208.79545856158333,187.05847308031775,221.8235294117647,196.0,180.65239493899685,219.27435064935065,197.17804381049413,221.14229249011856,219.82302129369225,222.82694160724608,200.16293774319067,200.51501091703057,204.35035005834305,193.45097623089984,204.05758017492712,217.54680365296804,191.11507383672333,215.2759878419453,190.67292225201072,208.81609837898267,192.17250922509226
